venture_id,sd_id,current_execution_order,suggested_execution_order,wsjf_score,rationale
,SD-007,,1,3.1428571428571428571429,unblocks=0; in_deg=0; gate_pass=0.00; ac_cov=0.00; prd_comp=0.00
,SD-016,,23,3.1428571428571428571429,unblocks=0; in_deg=0; gate_pass=0.00; ac_cov=0.00; prd_comp=0.00
,SD-1B,,24,3.1428571428571428571429,unblocks=0; in_deg=0; gate_pass=0.00; ac_cov=0.00; prd_comp=0.00
,SD-015,,25,3.1428571428571428571429,unblocks=0; in_deg=0; gate_pass=0.00; ac_cov=0.00; prd_comp=0.00
,SD-001,,26,3.1428571428571428571429,unblocks=0; in_deg=0; gate_pass=0.00; ac_cov=0.00; prd_comp=0.00
,SD-010,,27,3.1428571428571428571429,unblocks=0; in_deg=0; gate_pass=0.00; ac_cov=0.00; prd_comp=0.00
,SD-003,,28,3.1428571428571428571429,unblocks=0; in_deg=0; gate_pass=0.00; ac_cov=0.00; prd_comp=0.00
,SD-009,,29,3.1428571428571428571429,unblocks=0; in_deg=0; gate_pass=0.00; ac_cov=0.00; prd_comp=0.00
,SD-003A,,30,3.1428571428571428571429,unblocks=0; in_deg=0; gate_pass=0.00; ac_cov=0.00; prd_comp=0.00
,SD-1A,,31,3.1428571428571428571429,unblocks=0; in_deg=0; gate_pass=0.00; ac_cov=0.00; prd_comp=0.00
,SD-VENTURE-WORKFLOW,,32,3.1428571428571428571429,unblocks=0; in_deg=0; gate_pass=0.00; ac_cov=0.00; prd_comp=0.00
,SD-045,,34,3.1428571428571428571429,unblocks=0; in_deg=0; gate_pass=0.00; ac_cov=0.00; prd_comp=0.00
,SD-041,,36,3.1428571428571428571429,unblocks=0; in_deg=0; gate_pass=0.00; ac_cov=0.00; prd_comp=0.00
,SD-017,,37,3.1428571428571428571429,unblocks=0; in_deg=0; gate_pass=0.00; ac_cov=0.00; prd_comp=0.00
,SD-013,,38,3.1428571428571428571429,unblocks=0; in_deg=0; gate_pass=0.00; ac_cov=0.00; prd_comp=0.00
,SD-020,,39,3.1428571428571428571429,unblocks=0; in_deg=0; gate_pass=0.00; ac_cov=0.00; prd_comp=0.00
,SD-039,,40,3.1428571428571428571429,unblocks=0; in_deg=0; gate_pass=0.00; ac_cov=0.00; prd_comp=0.00
,SD-006,,41,3.1428571428571428571429,unblocks=0; in_deg=0; gate_pass=0.00; ac_cov=0.00; prd_comp=0.00
,SD-005,,42,3.1428571428571428571429,unblocks=0; in_deg=0; gate_pass=0.00; ac_cov=0.00; prd_comp=0.00
,SD-029,,43,3.1428571428571428571429,unblocks=0; in_deg=0; gate_pass=0.00; ac_cov=0.00; prd_comp=0.00
,SD-2025-09-EMB,100,43,3.1428571428571428571429,unblocks=0; in_deg=0; gate_pass=0.00; ac_cov=0.00; prd_comp=0.00
,SD-VISION-ALIGN-001,,44,3.1428571428571428571429,unblocks=0; in_deg=0; gate_pass=0.00; ac_cov=0.00; prd_comp=0.00
,SD-036,,45,3.1428571428571428571429,unblocks=0; in_deg=0; gate_pass=0.00; ac_cov=0.00; prd_comp=0.00
,SD-040,,48,3.1428571428571428571429,unblocks=0; in_deg=0; gate_pass=0.00; ac_cov=0.00; prd_comp=0.00
,SD-008,,49,3.1428571428571428571429,unblocks=0; in_deg=0; gate_pass=0.00; ac_cov=0.00; prd_comp=0.00
,SD-022,,50,3.1428571428571428571429,unblocks=0; in_deg=0; gate_pass=0.00; ac_cov=0.00; prd_comp=0.00
,SD-044,,51,3.1428571428571428571429,unblocks=0; in_deg=0; gate_pass=0.00; ac_cov=0.00; prd_comp=0.00
,SD-033,,52,3.1428571428571428571429,unblocks=0; in_deg=0; gate_pass=0.00; ac_cov=0.00; prd_comp=0.00
,SD-030,,53,3.1428571428571428571429,unblocks=0; in_deg=0; gate_pass=0.00; ac_cov=0.00; prd_comp=0.00
,SD-026,,54,3.1428571428571428571429,unblocks=0; in_deg=0; gate_pass=0.00; ac_cov=0.00; prd_comp=0.00
,SD-049,,55,3.1428571428571428571429,unblocks=0; in_deg=0; gate_pass=0.00; ac_cov=0.00; prd_comp=0.00
,SD-014,,56,3.1428571428571428571429,unblocks=0; in_deg=0; gate_pass=0.00; ac_cov=0.00; prd_comp=0.00
,SD-051,,57,3.1428571428571428571429,unblocks=0; in_deg=0; gate_pass=0.00; ac_cov=0.00; prd_comp=0.00
,SD-037,,58,3.1428571428571428571429,unblocks=0; in_deg=0; gate_pass=0.00; ac_cov=0.00; prd_comp=0.00
,SD-011,,59,3.1428571428571428571429,unblocks=0; in_deg=0; gate_pass=0.00; ac_cov=0.00; prd_comp=0.00
,SD-012,,60,3.1428571428571428571429,unblocks=0; in_deg=0; gate_pass=0.00; ac_cov=0.00; prd_comp=0.00
,SD-032,,61,3.1428571428571428571429,unblocks=0; in_deg=0; gate_pass=0.00; ac_cov=0.00; prd_comp=0.00
,SD-2025-PILOT-001,,62,3.1428571428571428571429,unblocks=0; in_deg=0; gate_pass=0.00; ac_cov=0.00; prd_comp=0.00
,SD-023,,63,3.1428571428571428571429,unblocks=0; in_deg=0; gate_pass=0.00; ac_cov=0.00; prd_comp=0.00
,SD-047,,65,3.1428571428571428571429,unblocks=0; in_deg=0; gate_pass=0.00; ac_cov=0.00; prd_comp=0.00
,SD-031,,66,3.1428571428571428571429,unblocks=0; in_deg=0; gate_pass=0.00; ac_cov=0.00; prd_comp=0.00
